ligand_id,seed,group,docking_score_kcal_mol,heavy_atom_count,ligand_efficiency
14ca1208b2ba689b,4,baseline,-8.959,32,0.27996875
1a4af0bae0836f7e,4,baseline,-7.9,34,0.2323529411764706
10a63d14372d7fef,4,baseline,-7.704,30,0.2568
b4e0d24fd4044259,4,baseline,-8.563,31,0.2762258064516129
b0ea11950840d38a,4,baseline,-7.295,30,0.2431666666666666
93fa3e6ac9bd1dde,4,baseline,-9.467,34,0.2784411764705882
907fe00e6031936f,4,baseline,-8.466,30,0.2821999999999999
80a9fd9b2908ceb7,4,baseline,-9.408,33,0.285090909090909
9dcd0ba7683f60f8,4,baseline,-6.699,31,0.2160967741935484
78824c9a042cc906,4,baseline,,38,
9cfb0c04c5d9ffc7,4,baseline,-7.883,29,0.2718275862068965
4af5dc115979a870,4,baseline,-9.223,31,0.2975161290322581
5059d23195a66c50,4,baseline,-6.906,32,0.2158125
1731c9d9b679b8ab,4,baseline,-9.956,32,0.311125
d577a2a2f59e9183,4,baseline,-10.03,36,0.2786111111111111
a94d8c8aafd2454f,4,baseline,,37,
2ffccb89e56d5060,4,baseline,,37,
aea0f288956a027f,4,baseline,,32,
f19637a3711207da,4,baseline,,35,
63aa36580c89a7ee,4,baseline,,28,
d6698e4027af79d0,4,baseline,,31,
215b0c20700ccbe1,4,baseline,,33,
423e8c6e0d3d221a,4,baseline,-9.657,32,0.30178125
2da20e37ff17572a,4,baseline,-8.805,30,0.2935
6c5d04652ac826e7,4,baseline,-9.664,36,0.2684444444444444
883b3243e917e0f2,4,baseline,-9.102,31,0.2936129032258064
4d16558dc829ae74,5,baseline,-10.48,30,0.3493333333333333
907fe00e6031936f,5,baseline,-8.631,30,0.2877
9cfb0c04c5d9ffc7,5,baseline,-7.861,29,0.2710689655172413
3735d0b4404cb824,5,baseline,-6.692,31,0.2158709677419354
3291c19128c075f6,5,baseline,-9.644,33,0.2922424242424242
215b0c20700ccbe1,5,baseline,,33,
cd154845f3f1d17c,5,baseline,,36,
6b40c5f8904b8644,5,baseline,-9.334,31,0.3010967741935483
e7895e07c877cc5b,5,baseline,-8.292,33,0.2512727272727272
79456ad7c0f00709,5,baseline,,36,
43e9ac2e31948843,5,baseline,-8.677,29,0.2992068965517241
abe198645895be70,5,baseline,-8.147,32,0.25459375
ffa4e7b4738a777c,5,baseline,-8.156,29,0.2812413793103449
6220b16a7ee497d1,5,baseline,-7.697,26,0.2960384615384615
aea0f288956a027f,5,baseline,-9.166,32,0.2864375
abd3096d06777ddc,5,baseline,,35,
f351e5ce87f32e41,5,baseline,-8.219,25,0.32876
6c45051842b6f790,5,baseline,-9.408,32,0.294
265be6bf6f793225,5,baseline,-8.974,27,0.3323703703703703
502450154b15b833,5,baseline,,34,
9dcd0ba7683f60f8,5,baseline,-6.778,31,0.2186451612903225
d6698e4027af79d0,5,baseline,-8.184,31,0.2639999999999999
883b3243e917e0f2,5,baseline,-9.093,31,0.2933225806451613
b1b72b79c08b5444,5,baseline,-7.564,33,0.2292121212121212
0f8e754d127b689e,5,baseline,-8.034,31,0.2591612903225807
6c91397283b3a3b9,5,baseline,-8.214,29,0.2832413793103448
14ca1208b2ba689b,5,baseline,-8.371,32,0.26159375
2ecbcc4cc2712a1f,5,baseline,-8.809,33,0.2669393939393939
d2110f92a57d35fd,5,baseline,-9.094,34,0.2674705882352941
