ligand_id,seed,group,docking_score_kcal_mol,heavy_atom_count,ligand_efficiency
b15e69abebb29248,4,generated,-5.658,22,0.2571818181818182
78d41f60ad3564a6,4,generated,-6.175,18,0.3430555555555555
5047a18b7c66754e,4,generated,-8.388,23,0.364695652173913
021fe8bb63085e57,4,generated,-6.087,19,0.3203684210526316
561b040e9d5299f9,4,generated,-5.244,22,0.2383636363636363
0db72b1f3e1247b1,4,generated,-7.143,24,0.297625
cfcc2523928e372b,4,generated,-6.81,16,0.425625
ff221f14453fac62,4,generated,-4.953,14,0.3537857142857143
eaecb257bf10b4d6,4,generated,-7.797,19,0.4103684210526315
c3598413fc438e49,4,generated,,37,
8bd962616146f24c,4,generated,-6.353,15,0.4235333333333333
24f520326ee61f51,4,generated,,30,
58aeb057a7069430,4,generated,-7.435,27,0.2753703703703704
738509289c8c855d,4,generated,,30,
85c28f2c942bc37f,4,generated,-5.565,19,0.2928947368421052
f7303020b3eb4e4f,4,generated,-7.318,28,0.2613571428571428
b9050b877fe74375,4,generated,-9.047,27,0.3350740740740741
514e43df360d5787,4,generated,-8.008,24,0.3336666666666666
c0bd0c6bc9e8da81,4,generated,-6.745,15,0.4496666666666666
3f8d8a7664eacf28,4,generated,-8.143,23,0.3540434782608695
491d50d8b6dc7e18,4,generated,,36,
63fe0cb2f8d7d4e0,5,generated,,29,
428cdba860adba3f,5,generated,-7.358,22,0.3344545454545454
8c3e4c4a08c7dbcc,5,generated,-5.877,26,0.2260384615384615
a2bd54d8894be5eb,5,generated,-6.563,28,0.2343928571428571
8e54f2e7fffefeba,5,generated,,22,
b9970e73db9ede85,5,generated,-7.69,21,0.3661904761904762
38158e0307f6628c,5,generated,,17,
28d923684491844c,5,generated,-5.997,15,0.3998
71346d5ca0e9f89d,5,generated,-8.042,32,0.2513125
a6c63d80ad3cd126,5,generated,,25,
bc9834e7e17c7ddd,5,generated,-5.389,16,0.3368125
44eefd13e0c31e06,5,generated,-7.119,31,0.2296451612903225
499259455b493d30,5,generated,-7.352,36,0.2042222222222222
9d43cd4d14b84f55,5,generated,-7.435,18,0.4130555555555555
022766e1498f6e5d,5,generated,-6.787,26,0.2610384615384615
9524055641eb16de,5,generated,-7.812,22,0.3550909090909091
7d690c83ccfd7547,5,generated,-6.811,15,0.4540666666666667
0bb9a75a30c2e953,5,generated,,33,
c62469ccb7b3f894,5,generated,-6.823,28,0.2436785714285714
c2a348a7dfeda8cf,5,generated,-7.184,26,0.2763076923076923
f002895394abb86f,5,generated,-5.701,27,0.2111481481481481
0ec169c435274657,5,generated,-9.167,25,0.36668
2842bb4b8fdf86cd,5,generated,-7.412,27,0.2745185185185185
6195b7bc33d5f369,5,generated,-7.254,33,0.2198181818181818
88bf772862dd0e31,5,generated,-7.941,26,0.3054230769230769
241bd819ee2dd7ec,5,generated,-7.472,22,0.3396363636363637
153b0c9a50f29a7b,5,generated,-7.258,26,0.2791538461538461
2bc77a8ac2c4db3c,5,generated,-5.681,22,0.2582272727272727
9aba6ea1bd359e88,5,generated,-5.691,15,0.3794
219658c00cf7c1d8,6,generated,-7.199,24,0.2999583333333333
ff59559e6a209e71,6,generated,-7.192,19,0.3785263157894737
45c684c4a0af771b,6,generated,-7.864,31,0.2536774193548387
5b0e2f76de38bd67,6,generated,,31,
273b704bb19e88d8,6,generated,-6.826,19,0.3592631578947368
cde6ad520bf8a1ae,6,generated,-6.179,24,0.2574583333333333
3333cd34c92f207c,6,generated,-3.402,25,0.13608
c12bf768af89b38e,6,generated,-7.54,27,0.2792592592592592
5b072c5066dfef21,6,generated,-6.76,21,0.3219047619047619
6b86566e6be6b9f1,6,generated,-7.794,25,0.31176
b94d74529e0cb612,6,generated,-7.069,31,0.2280322580645161
4f4e0fee76806774,6,generated,-6.241,19,0.3284736842105263
2b0f93718e83b77f,6,generated,,38,
c46b5ea2a8951d58,6,generated,-8.92,27,0.3303703703703703
39b8115789027a4d,6,generated,-7.462,24,0.3109166666666667
ede59736de561c09,6,generated,-7.389,32,0.23090625
8fa4f3b9363ad319,6,generated,-6.796,22,0.3089090909090909
2534ea2799f09384,6,generated,-5.447,15,0.3631333333333333
dd1e49d8572462b6,6,generated,-5.609,18,0.3116111111111111
dded60cd2fd84980,6,generated,-5.113,20,0.25565
7e7e8bc6e26157c7,6,generated,-5.894,19,0.3102105263157895
c136ac8669539639,6,generated,-8.08,32,0.2525
5dd3e04ba875c4d0,6,generated,,32,
2e6debf97d70d48c,6,generated,,32,
ae389bfe4890ca54,6,generated,-5.56,28,0.1985714285714285
8582b9346c58614a,6,generated,-8.179,21,0.3894761904761905
e9c65fc370ef3261,6,generated,-6.353,23,0.2762173913043478
2f7951d0d290b327,6,generated,-7.17,23,0.3117391304347826
dad7efdd564bea2f,6,generated,-7.267,33,0.2202121212121212
59f42e8ec1c27950,6,generated,-6.255,25,0.2502
